L01	Edit the tracked file `src/web_search_core.rs`: add "wikiquote" to the WEB_SEARCH_PROVIDERS list. Change only that file and keep it valid Rust.	src/web_search_core.rs	"wikiquote"	WEB_SEARCH_PROVIDERS	Add wikiquote as a web search provider.
L02	Edit the tracked file `src/thinking.rs`: add "sensor_fusion" to the PLAIN_STEPS list. Change only that file and keep it valid Rust.	src/thinking.rs	"sensor_fusion"	PLAIN_STEPS	Add sensor_fusion to the plain thinking steps.
L03	Edit the tracked file `src/seed/meanings/parse.rs`: add "provenance" to the FACET_KINDS list. Change only that file and keep it valid Rust.	src/seed/meanings/parse.rs	"provenance"	FACET_KINDS	Add provenance to the semantic facet kinds.
L04	Edit the tracked file `src/solver_handlers/pattern_inference.rs`: add "alternating" to the INTENT_MARKERS list. Change only that file and keep it valid Rust.	src/solver_handlers/pattern_inference.rs	"alternating"	INTENT_MARKERS	Add alternating to the pattern inference intent markers.
L05	Edit the tracked file `src/how_to_guide.rs`: add "about" to the TOPIC_STOPWORDS list. Change only that file and keep it valid Rust.	src/how_to_guide.rs	"about"	TOPIC_STOPWORDS	Add about to the how-to topic stopwords.
L06	Edit the tracked file `src/solver_handlers/web_requests.rs`: add "deep-foundation" to the PROMOTED_PROJECT_ORGS list. Change only that file and keep it valid Rust.	src/solver_handlers/web_requests.rs	"deep-foundation"	PROMOTED_PROJECT_ORGS	Add deep-foundation to the promoted project orgs.
L07	Edit the tracked file `src/engine_responses.rs`: add "Good morning" to the GREETING_EXAMPLES list. Change only that file and keep it valid Rust.	src/engine_responses.rs	"Good morning"	GREETING_EXAMPLES	Add Good morning to the greeting examples.
L08	Edit the tracked file `src/solver_dispatch.rs`: add "workspace_change" to the CONTEXTUAL_HANDLER_NAMES list. Change only that file and keep it valid Rust.	src/solver_dispatch.rs	"workspace_change"	CONTEXTUAL_HANDLER_NAMES	Add workspace_change to the contextual handler names.
L09	Edit the tracked file `src/agentic_coding/shell_command_policy.rs`: add "kindly" to the PROSE_WORDS list. Change only that file and keep it valid Rust.	src/agentic_coding/shell_command_policy.rs	"kindly"	PROSE_WORDS	Add kindly to the shell command policy prose words.
L10	Edit the tracked file `src/solver_handlers/document_request.rs`: add "reformat" to the ACTIONS list. Change only that file and keep it valid Rust.	src/solver_handlers/document_request.rs	"reformat"	ACTIONS	Add reformat as a document request conversion action to the ACTIONS list.
L11	Edit the tracked file `src/program_skill_gap.rs`: add "structured_edit" to the SYNTHESIS_ROUTES list. Change only that file and keep it valid Rust.	src/program_skill_gap.rs	"structured_edit"	SYNTHESIS_ROUTES	Add structured_edit to the program skill gap synthesis routes.
L12	In the file src/protocol_memory.rs, replace "request_history" with "conversation_history". Change only that file and keep it valid Rust.	src/protocol_memory.rs	conversation_history	REQUEST_HISTORY_CONVERSATION_ID	Change the value of REQUEST_HISTORY_CONVERSATION_ID from request_history to conversation_history.
L13	In the file src/dialog_log.rs, replace "x-formal-ai-dialog-id" with "x-formal-ai-conversation-id". Change only that file and keep it valid Rust.	src/dialog_log.rs	x-formal-ai-conversation-id	DIALOG_ID_HEADER	Change the value of DIALOG_ID_HEADER from x-formal-ai-dialog-id to x-formal-ai-conversation-id.
L14	In the file src/world_model_dialog.rs, replace "world_sync_root" with "world_sync_chain_root". Change only that file and keep it valid Rust.	src/world_model_dialog.rs	world_sync_chain_root	SYNC_CHAIN_ROOT	Change the value of SYNC_CHAIN_ROOT from world_sync_root to world_sync_chain_root.
L15	In the file src/cli_context.rs, replace "FORMAL_AI_DIALOG_ID" with "FORMAL_AI_SESSION_ID". Change only that file and keep it valid Rust.	src/cli_context.rs	FORMAL_AI_SESSION_ID	SESSION_ENV	Change the value of SESSION_ENV from FORMAL_AI_DIALOG_ID to FORMAL_AI_SESSION_ID.
L16	In the file src/service_accessibility.rs, replace "ttl_seconds" with "time_to_live_seconds". Change only that file and keep it valid Rust.	src/service_accessibility.rs	time_to_live_seconds	FIELD_TTL_SECONDS	Change the value of FIELD_TTL_SECONDS from ttl_seconds to time_to_live_seconds.
L17	In the file src/web_search_fusion_core.rs, replace "statement_negation_cue" with "statement_negation_marker". Change only that file and keep it valid Rust.	src/web_search_fusion_core.rs	statement_negation_marker	NEGATION_ROLE	Change the value of NEGATION_ROLE from statement_negation_cue to statement_negation_marker.
L18	In the file src/client_integrations.rs, replace "http://127.0.0.1:8080" with "http://127.0.0.1:8099". Change only that file and keep it valid Rust.	src/client_integrations.rs	http://127.0.0.1:8099	DEFAULT_BASE_URL	Change the value of DEFAULT_BASE_URL in the client integrations module from http://127.0.0.1:8080 to http://127.0.0.1:8099.
