491	open	Principle of least action
531	closed	Patterns inference (1D - sequences, text, 2D images and so on)
534	closed	Our repository is taking up lots of space during development
650	closed	formal-ai with: fix codex 'hi' misroute (/responses merges instructions), uniform interactive/non-interactive mode for all tools, summarization handling, --globally alias
656	closed	E37: Benchmark-gated promotion protocol for self-improvement proposals
657	closed	E38: Self-hosting metric: measure the share of each release authored by Formal AI
658	closed	E39: Absorb the remaining JS worker logic into the Rust→WASM worker (R380)
659	closed	E40: CI lint burning down hardcoded natural-language strings (R379)
660	closed	E41: Bulk semantics importer from external lexical sources (R378)
661	closed	E42: Probability-weighted statement formalization with contradiction warnings (R384)
662	closed	E43: Budget-driven random and evolutionary search in synthesis (F4)
663	closed	E44: Retire the `SPECIALIZED_HANDLERS` precedence remnant into data-driven routing
664	closed	E45: Associative terminology cleanup: links network, not graph
669	open	E50: Cloud memory sync for the single-file bundle (F3)
671	closed	E52: Multi-CLI agentic end-to-end matrix in CI (codex, opencode, gemini, qwen, claude, grok, aider)
672	closed	E53: Land the deferred issue-541 UI follow-ups (F1–F5)
673	closed	E54: Extend the self-AST census from one module to a workspace census
674	closed	E55: Compile arbitrary natural-language programs beyond the supported skill subset
680	closed	Agentic CLIs: tool calls are phrasing-gated, not intent-based — web search & web fetch never fire; write/edit/shell mostly fail (all 5 CLIs)
681	closed	Agentic CLIs: a file-creation request emits a read tool_call on the (nonexistent) target instead of write
682	closed	OpenAI chat-completions: explicit "content": null on assistant tool-call turns returns 400 (breaks qwen)
686	closed	Associative knowledge networks learning (contexts, world models, formal systems
687	closed	Asking formal AI to report the issue on GitHub does not work (as well as other simple prompts/requests)
698	closed	E56: Real external benchmark harness — run upstream suites with honest scores and a scheduled ratchet
699	closed	E57: Complete the issue-559 mandate — migrate all specialized handlers into data-driven meta-methods (only memory + meta algorithm)
700	open	E58: Universal measuring-unit support via link-foundation/si-units (plus the upstream filing from issue 439)
701	closed	E59: Close the auto-learning adoption gap — learned items must demonstrably change answers
702	closed	E60: Implement symbolic world models — current/target contexts, diff, sync loop, merge/split, action-consequence prediction
703	closed	E61: Formal AI as orchestrator — drive agent/claude/codex/gemini/qwen/opencode CLIs, dispatch tasks in parallel, compare results
704	closed	E62: Parallel candidate-solution portfolios — k independent drafts, test-based selection, recorded comparison
705	open	E63: Predict likely next user requests and pre-learn them (anticipatory dreaming)
706	closed	E64: Any-language protocol — grow beyond en/ru/hi/zh by data-only addition with an auto-generated round-trip contract
707	closed	E65: General computer-use without vision — files, shell, structured web as verified algorithmic plans
708	closed	E66: Turing-complete natural-language memory queries over links (complete issue 529)
709	closed	E67: Meta-language fusion of multi-source search results into ranked, provenance-carrying answers
710	open	E68: Dropped-requirements regression backlog — re-verify and fix silently-closed requirements
711	closed	CI/CD: every release republishes all 388 changelog fragments — identical release notes since v0.283.0, CHANGELOG.md at 610k lines
712	closed	Regression: #680 tool routing still phrasing-gated and #681 write→read still reproduces on v0.289.0 (160-run matrix)
713	closed	with-formal-ai: interactive/TUI mode passes invalid args — codex (--skip-git-repo-check) and gemini (-i) fail to launch; no TUI regression tests for any CLI
714	closed	Agentic mode issues
715	closed	Code changes do not work
716	closed	All CLI commands must be routed to actual bash/shell tools of the agentic CLI harness
717	closed	Check for all false positives, false negatives, warnings and errors in CI/CD and fix them all
720	open	Unknown prompt: последние новости
721	open	Unknown prompt: 我不明白
722	open	Unknown prompt: Привет, напиши мне эссе по квантовой механике
723	open	Issue with dialog: напиши мне код на PHP Laravel
724	open	Unknown prompt: Скажи что то на Китайском
