1.1.1.1.1	5	Atomic task L01: Inspect the existing task-decomposition data model and identify where a node stores its children.	new_leaf_effect			src/task_decomposition.rs	pub children: Vec<Self>
1.1.1.1.2	5	Atomic task L02: Inspect the existing task-decomposition recursion and record how depth limits are represented.	new_leaf_effect			src/task_decomposition.rs	pub max_depth: u8
1.1.1.2.1	5	Atomic task L03: Inspect the existing atomicity check and record the observable completion contract for leaves.	new_leaf_effect			src/task_decomposition.rs	!self.completion_criterion.starts_with("unresolved_")
1.1.1.2.2	5	Atomic task L04: Inspect the existing Links Notation rendering and record how child relationships are serialized.	new_leaf_effect			src/task_decomposition.rs	pairs.push(("child", child.id.clone()))
1.1.2.1.1	5	Atomic task L05: Inspect the existing recursive execution adapter and record how a decomposition tree is executed.	new_leaf_effect			src/task_decomposition.rs	children: self.children.iter().map(Self::to_recursive_task).collect()
1.1.2.1.2	5	Atomic task L06: Inspect the existing task-strategy ledger and record how approved decomposition strategies are selected.	new_leaf_effect			src/task_decomposition.rs	decompose_task_with_ledger(task, max_depth, &TaskStrategyLedger::shipped())
1.1.2.2.1	5	Atomic task L07: Inspect the issue-sized decomposition regression and record its required lower bound on independently checkable leaves.	new_leaf_effect			tests/unit/specification/task_decomposition.rs	decomposition.leaves().len() >= 3
1.1.2.2.2	5	Atomic task L08: Verify that a leaf without an observable completion contract is never treated as independently checkable.	new_leaf_effect			src/task_decomposition.rs	"unresolved_single_need"
1.2.1.1.1	5	Atomic task L09: Inspect the binary decomposition invariant and explain the exactly-two-children requirement.	new_leaf_effect			docs/case-studies/issue-1028/task-decomposition.md	Every internal node has exactly two children
1.2.1.1.2	5	Atomic task L10: Verify the invariant explicitly names the supported power-of-two levels through 32.	new_leaf_effect			docs/case-studies/issue-1028/task-decomposition.md	2, 4, 8, 16, and 32 nodes respectively
1.2.1.2.1	5	Atomic task L11: Verify regression coverage includes two decomposition nodes at depth one.	new_leaf_effect			tests/unit/issue_1066_agent_ladder.rs	BTreeMap::from([(0, 1), (1, 2), (2, 4), (3, 8), (4, 16), (5, 32)])
1.2.1.2.2	5	Atomic task L12: Verify regression coverage includes four decomposition nodes at depth two.	new_leaf_effect			tests/unit/issue_1066_agent_ladder.rs	BTreeMap::from([(0, 1), (1, 2), (2, 4), (3, 8), (4, 16), (5, 32)])
1.2.2.1.1	5	Atomic task L13: Verify regression coverage includes eight decomposition nodes at depth three.	new_leaf_effect			tests/unit/issue_1066_agent_ladder.rs	BTreeMap::from([(0, 1), (1, 2), (2, 4), (3, 8), (4, 16), (5, 32)])
1.2.2.1.2	5	Atomic task L14: Verify regression coverage includes sixteen decomposition nodes at depth four.	new_leaf_effect			tests/unit/issue_1066_agent_ladder.rs	BTreeMap::from([(0, 1), (1, 2), (2, 4), (3, 8), (4, 16), (5, 32)])
1.2.2.2.1	5	Atomic task L15: Verify regression coverage includes thirty-two decomposition nodes at depth five.	new_leaf_effect			tests/unit/issue_1066_agent_ladder.rs	BTreeMap::from([(0, 1), (1, 2), (2, 4), (3, 8), (4, 16), (5, 32)])
1.2.2.2.2	5	Atomic task L16: Verify every tested internal node has exactly two children and never three or more.	new_leaf_effect			docs/case-studies/issue-1028/task-decomposition.md	Every internal node has exactly two children
2.1.1.1.1	5	Atomic task L17: Verify every tested leaf is atomic and independently checkable.	new_leaf_effect			docs/case-studies/issue-1028/task-decomposition.md	every leaf is atomic and independently checkable
2.1.1.1.2	5	Atomic task L18: Inspect how each decomposition node carries its content-addressed stable identifier.	new_leaf_effect			src/task_decomposition.rs	pub id: String
2.1.1.2.1	5	Atomic task L19: Verify child paths follow the dotted numeric convention at every recursive depth.	new_leaf_effect			src/task_decomposition.rs	format!("{parent}.{number}")
2.1.1.2.2	5	Atomic task L20: Verify the node count of a complete depth-five tree is exactly 63 including the root.	new_leaf_effect			tests/unit/issue_1066_agent_ladder.rs	const NODE_COUNT: usize = 63
