arithmetic_narrative	en	A baker makes 24 rolls each morning and 18 each afternoon. She sells 35 rolls during the day and gives 4 to her neighbour. How many rolls does she have left at closing time?
arithmetic_narrative	ru	Пекарь печёт 24 булочки утром и 18 днём. За день она продаёт 35 булочек и отдаёт 4 соседке. Сколько булочек остаётся у неё к закрытию?
arithmetic_narrative	hi	एक बेकर हर सुबह 24 और हर दोपहर 18 रोल बनाती है। वह दिन भर में 35 रोल बेचती है और 4 अपनी पड़ोसन को देती है। बंद होने के समय उसके पास कितने रोल बचते हैं?
arithmetic_narrative	zh	一位面包师每天早上做 24 个面包卷，下午做 18 个。她白天卖出 35 个，又送给邻居 4 个。打烊时她还剩多少个面包卷？
arithmetic_narrative	es	Una panadera hace 24 panecillos cada mañana y 18 cada tarde. Vende 35 durante el día y le da 4 a su vecina. ¿Cuántos panecillos le quedan al cerrar?
counted_category	en	I have two oboes, a stethoscope, three scalpels, a harp and a thermometer. How many medical instruments do I have?
counted_category	ru	У меня есть два гобоя, стетоскоп, три скальпеля, арфа и термометр. Сколько у меня медицинских инструментов?
counted_category	hi	मेरे पास दो ओबो, एक स्टेथोस्कोप, तीन स्कैल्पेल, एक वीणा और एक थर्मामीटर है। मेरे पास कितने चिकित्सा उपकरण हैं?
counted_category	zh	我有两支双簧管、一个听诊器、三把手术刀、一架竖琴和一支体温计。我有多少件医疗器械？
counted_category	es	Tengo dos oboes, un estetoscopio, tres bisturís, un arpa y un termómetro. ¿Cuántos instrumentos médicos tengo?
instructed_edit	en	Make this sentence more concise: The committee members who were present at the meeting all agreed unanimously with one another about the proposal.
instructed_edit	ru	Сделай это предложение короче: Члены комитета, которые присутствовали на заседании, все единогласно согласились друг с другом по поводу предложения.
instructed_edit	hi	इस वाक्य को अधिक संक्षिप्त बनाओ: बैठक में उपस्थित समिति के सभी सदस्य प्रस्ताव पर एक-दूसरे से सर्वसम्मति से सहमत थे।
instructed_edit	zh	把这句话改得更简洁：出席会议的委员会成员全都一致地彼此同意该提案。
instructed_edit	es	Haz esta frase más concisa: Los miembros del comité que estuvieron presentes en la reunión estuvieron todos de acuerdo unánimemente entre sí sobre la propuesta.
named_unknown	en	Find y: 7 * y = 84
named_unknown	ru	Найди y: 7 * y = 84
named_unknown	hi	y ज्ञात करो: 7 * y = 84
named_unknown	zh	求 y：7 * y = 84
named_unknown	es	Halla y: 7 * y = 84
unit_conversion	en	A tank holds 2 litres of water and 750 millilitres are poured out. How many millilitres remain?
unit_conversion	ru	В баке 2 литра воды, из него вылили 750 миллилитров. Сколько миллилитров осталось?
unit_conversion	hi	एक टंकी में 2 लीटर पानी है और उसमें से 750 मिलीलीटर निकाल दिया जाता है। कितने मिलीलीटर बचते हैं?
unit_conversion	zh	一个水箱里有 2 升水，倒出 750 毫升。还剩多少毫升？
unit_conversion	es	Un depósito contiene 2 litros de agua y se vierten 750 mililitros. ¿Cuántos mililitros quedan?
honest_gap	en	How many litres of rainwater did the roof of the old granary collect during last night's storm?
honest_gap	ru	Сколько литров дождевой воды собрала крыша старого амбара во время вчерашней ночной грозы?
honest_gap	hi	पुरानी बखारी की छत ने कल रात के तूफ़ान में कितने लीटर बारिश का पानी इकट्ठा किया?
honest_gap	zh	昨晚的暴风雨中，那座旧谷仓的屋顶收集了多少升雨水？
honest_gap	es	¿Cuántos litros de agua de lluvia recogió el tejado del viejo granero durante la tormenta de anoche?
